Global Temperature (Climatic Research Unit)
Year, Anomaly, Smoothed
1850, -0.418, -0.310
1851, -0.233, -0.307
1852, -0.229, -0.307
1853, -0.270, -0.310
1854, -0.292, -0.317
1855, -0.297, -0.327
1856, -0.320, -0.340
1857, -0.467, -0.353
1858, -0.389, -0.366
1859, -0.281, -0.377
1860, -0.390, -0.386
1861, -0.429, -0.392
1862, -0.536, -0.393
1863, -0.344, -0.391
1864, -0.465, -0.386
1865, -0.333, -0.378
1866, -0.341, -0.370
1867, -0.357, -0.362
1868, -0.352, -0.355
1869, -0.317, -0.350
1870, -0.328, -0.345
1871, -0.369, -0.340
1872, -0.328, -0.334
1873, -0.341, -0.326
1874, -0.373, -0.315
1875, -0.376, -0.302
1876, -0.424, -0.289
1877, -0.101, -0.279
1878, -0.011, -0.275
1879, -0.304, -0.279
1880, -0.316, -0.290
1881, -0.232, -0.308
1882, -0.296, -0.330
1883, -0.346, -0.353
1884, -0.492, -0.374
1885, -0.471, -0.391
1886, -0.421, -0.404
1887, -0.499, -0.413
1888, -0.379, -0.419
1889, -0.250, -0.424
1890, -0.507, -0.427
1891, -0.401, -0.429
1892, -0.508, -0.427
1893, -0.495, -0.423
1894, -0.484, -0.415
1895, -0.449, -0.405
1896, -0.284, -0.394
1897, -0.260, -0.385
1898, -0.486, -0.380
1899, -0.355, -0.380
1900, -0.234, -0.386
1901, -0.293, -0.397
1902, -0.439, -0.411
1903, -0.533, -0.427
1904, -0.598, -0.441
1905, -0.408, -0.454
1906, -0.319, -0.464
1907, -0.504, -0.471
1908, -0.514, -0.475
1909, -0.536, -0.474
1910, -0.531, -0.468
1911, -0.539, -0.457
1912, -0.476, -0.442
1913, -0.467, -0.426
1914, -0.263, -0.410
1915, -0.192, -0.395
1916, -0.420, -0.383
1917, -0.543, -0.372
1918, -0.425, -0.360
1919, -0.326, -0.347
1920, -0.299, -0.334
1921, -0.241, -0.320
1922, -0.339, -0.305
1923, -0.318, -0.290
1924, -0.312, -0.276
1925, -0.282, -0.264
1926, -0.123, -0.252
1927, -0.229, -0.241
1928, -0.207, -0.231
1929, -0.393, -0.222
1930, -0.177, -0.213
1931, -0.103, -0.203
1932, -0.145, -0.191
1933, -0.322, -0.177
1934, -0.174, -0.158
1935, -0.206, -0.136
1936, -0.170, -0.111
1937, -0.019, -0.084
1938, -0.012, -0.058
1939, -0.041, -0.034
1940,  0.076, -0.016
1941,  0.038, -0.005
1942,  0.001, -0.000
1943,  0.006, -0.002
1944,  0.144, -0.011
1945,  0.043, -0.025
1946, -0.119, -0.042
1947, -0.091, -0.059
1948, -0.125, -0.072
1949, -0.144, -0.081
1950, -0.227, -0.086
1951, -0.061, -0.088
1952,  0.015, -0.089
1953,  0.078, -0.090
1954, -0.117, -0.091
1955, -0.197, -0.092
1956, -0.263, -0.092
1957, -0.035, -0.091
1958, -0.018, -0.090
1959, -0.048, -0.090
1960, -0.115, -0.093
1961, -0.020, -0.099
1962, -0.064, -0.108
1963, -0.037, -0.117
1964, -0.306, -0.125
1965, -0.204, -0.131
1966, -0.149, -0.132
1967, -0.118, -0.131
1968, -0.169, -0.126
1969, -0.031, -0.120
1970, -0.085, -0.112
1971, -0.206, -0.104
1972, -0.094, -0.095
1973,  0.050, -0.083
1974, -0.173, -0.068
1975, -0.111, -0.048
1976, -0.216, -0.024
1977,  0.103,  0.003
1978,  0.005,  0.032
1979,  0.091,  0.060
1980,  0.196,  0.084
1981,  0.250,  0.104
1982,  0.034,  0.119
1983,  0.224,  0.131
1984,  0.048,  0.142
1985,  0.050,  0.155
1986,  0.096,  0.171
1987,  0.243,  0.187
1988,  0.282,  0.204
1989,  0.179,  0.221
1990,  0.361,  0.235
1991,  0.339,  0.248
1992,  0.125,  0.262
1993,  0.166,  0.278
1994,  0.234,  0.297
1995,  0.377,  0.319
1996,  0.277,  0.344
1997,  0.422,  0.369
1998,  0.577,  0.394
1999,  0.324,  0.418
2000,  0.331,  0.441
2001,  0.489,  0.463
2002,  0.543,  0.485
2003,  0.544,  0.504
2004,  0.467,  0.521
2005,  0.607,  0.536
2006,  0.573,  0.550
2007,  0.592,  0.563
2008,  0.466,  0.575
2009,  0.597,  0.590
2010,  0.680,  0.608
2011,  0.538,  0.630
2012,  0.578,  0.656
2013,  0.624,  0.686
2014,  0.673,  0.717
2015,  0.825,  0.748
2016,  0.933,  0.775
2017,  0.845,  0.796
2018,  0.763,  0.811
2019,  0.891,  0.818
2020,  0.922,  0.819
